timestamp,event_id,sensor_id,stage,stage_timestamp,cumulative_latency_ms,stage_latency_ms
1751082268.8717144,mmwave1_1751082268871,mmwave1,pointcloud_received,1751082268.871691,,
1751082268.8768785,mmwave1_1751082268871,mmwave1,mqtt_published,1751082268.8768473,5.156278610229492,
1751082268.8790414,mmwave1_1751082268871,mmwave1,automation_triggered,1751082268.8790052,2.157926559448242,
1751082268.8821583,mmwave1_1751082268871,mmwave1,lamp_toggled,1751082268.8821323,10.441303253173828,3.1270980834960938
1751082312.8888152,mmwave1_1751082312888,mmwave1,pointcloud_received,1751082312.8887804,,
1751082312.8920245,mmwave1_1751082312888,mmwave1,mqtt_published,1751082312.8919845,3.2041072845458984,
1751082312.894261,mmwave1_1751082312888,mmwave1,automation_triggered,1751082312.8942046,2.22015380859375,
1751082312.895385,mmwave1_1751082312888,mmwave1,lamp_toggled,1751082312.895356,6.575584411621094,1.1513233184814453
1751082312.9955704,mmwave2_1751082312995,mmwave2,pointcloud_received,1751082312.9955006,,
1751082312.998778,mmwave2_1751082312995,mmwave2,mqtt_published,1751082312.9987404,3.239870071411133,
1751082313.0009408,mmwave2_1751082312995,mmwave2,automation_triggered,1751082313.0009117,2.1712779998779297,
1751082313.0020642,mmwave2_1751082312995,mmwave2,lamp_toggled,1751082313.0020316,6.531000137329102,1.119852066040039
1751082313.1023026,mmwave1_1751082313102,mmwave1,pointcloud_received,1751082313.1021557,,
1751082313.1055493,mmwave1_1751082313102,mmwave1,mqtt_published,1751082313.1055052,3.3495426177978516,
1751082313.1077023,mmwave1_1751082313102,mmwave1,automation_triggered,1751082313.1076736,2.168416976928711,
1751082313.1088235,mmwave1_1751082313102,mmwave1,lamp_toggled,1751082313.1087942,6.638526916503906,1.1205673217773438
1751082313.2090728,mmwave2_1751082313208,mmwave2,pointcloud_received,1751082313.208998,,
1751082313.2122748,mmwave2_1751082313208,mmwave2,mqtt_published,1751082313.212233,3.2351016998291016,
1751082313.2144897,mmwave2_1751082313208,mmwave2,automation_triggered,1751082313.2144482,2.215147018432617,
1751082313.21561,mmwave2_1751082313208,mmwave2,lamp_toggled,1751082313.2155833,6.585359573364258,1.135110855102539
1751082313.315852,mmwave1_1751082313315,mmwave1,pointcloud_received,1751082313.3157678,,
1751082313.3190637,mmwave1_1751082313315,mmwave1,mqtt_published,1751082313.3190277,3.259897232055664,
1751082313.3212404,mmwave1_1751082313315,mmwave1,automation_triggered,1751082313.3212132,2.1855831146240234,
1751082313.322377,mmwave1_1751082313315,mmwave1,lamp_toggled,1751082313.3223426,6.574869155883789,1.1293888092041016
1751082356.696102,mmwave1_1751082356696,mmwave1,pointcloud_received,1751082356.6960685,,
1751082356.7013242,mmwave1_1751082356696,mmwave1,mqtt_published,1751082356.7012844,5.215883255004883,
1751082356.7036438,mmwave1_1751082356696,mmwave1,automation_triggered,1751082356.7035935,2.309083938598633,
1751082356.7068324,mmwave1_1751082356696,mmwave1,lamp_toggled,1751082356.7067869,10.718345642089844,3.193378448486328
1751082390.78179,mmwave1_1751082390781,mmwave1,pointcloud_received,1751082390.7817557,,
1751082390.7870817,mmwave1_1751082390781,mmwave1,mqtt_published,1751082390.7870088,5.253076553344727,
1751082390.7892852,mmwave1_1751082390781,mmwave1,automation_triggered,1751082390.789239,2.2301673889160156,
1751082390.7924516,mmwave1_1751082390781,mmwave1,lamp_toggled,1751082390.7924094,10.65373420715332,3.170490264892578
1751082989.604498,mmwave1_1751082989604,mmwave1,pointcloud_received,1751082989.6044621,,
1751082989.610892,mmwave1_1751082989604,mmwave1,mqtt_published,1751082989.6108496,6.387472152709961,
1751082989.6133275,mmwave1_1751082989604,mmwave1,automation_triggered,1751082989.613287,2.4373531341552734,
1751082989.6154494,mmwave1_1751082989604,mmwave1,lamp_toggled,1751082989.6154177,10.955572128295898,2.130746841430664
1751082989.715788,mmwave2_1751082989715,mmwave2,pointcloud_received,1751082989.7157218,,
1751082989.7203581,mmwave2_1751082989715,mmwave2,mqtt_published,1751082989.7203174,4.595518112182617,
1751082989.7220535,mmwave2_1751082989715,mmwave2,automation_triggered,1751082989.7220287,1.7113685607910156,
1751082989.724158,mmwave2_1751082989715,mmwave2,lamp_toggled,1751082989.7241192,8.397340774536133,2.0904541015625
1751082989.8245008,mmwave1_1751082989824,mmwave1,pointcloud_received,1751082989.8244257,,
1751082989.831173,mmwave1_1751082989824,mmwave1,mqtt_published,1751082989.8311262,6.7005157470703125,
1751082989.833156,mmwave1_1751082989824,mmwave1,automation_triggered,1751082989.833129,2.002716064453125,
1751082989.834673,mmwave1_1751082989824,mmwave1,lamp_toggled,1751082989.834641,10.215282440185547,1.5120506286621094
1751082989.935036,mmwave2_1751082989934,mmwave2,pointcloud_received,1751082989.9349587,,
1751082989.9373112,mmwave2_1751082989934,mmwave2,mqtt_published,1751082989.937278,2.3193359375,
1751082989.9384782,mmwave2_1751082989934,mmwave2,automation_triggered,1751082989.9384525,1.1744499206542969,
1751082989.940503,mmwave2_1751082989934,mmwave2,lamp_toggled,1751082989.9404616,5.502939224243164,2.009153366088867
1751082990.0407736,mmwave1_1751082990040,mmwave1,pointcloud_received,1751082990.0406914,,
1751082990.0448627,mmwave1_1751082990040,mmwave1,mqtt_published,1751082990.0448253,4.133939743041992,
1751082990.0470717,mmwave1_1751082990040,mmwave1,automation_triggered,1751082990.0470395,2.214193344116211,
1751082990.0482748,mmwave1_1751082990040,mmwave1,lamp_toggled,1751082990.0482385,7.547140121459961,1.1990070343017578
1751082990.1485527,mmwave2_1751082990148,mmwave2,pointcloud_received,1751082990.148473,,
1751082990.1520424,mmwave2_1751082990148,mmwave2,mqtt_published,1751082990.1520014,3.5283565521240234,
1751082990.1547897,mmwave2_1751082990148,mmwave2,automation_triggered,1751082990.1547587,2.7573108673095703,
1751082990.1561387,mmwave2_1751082990148,mmwave2,lamp_toggled,1751082990.1561062,7.633209228515625,1.3475418090820312
1751082990.2563968,mmwave1_1751082990256,mmwave1,pointcloud_received,1751082990.2563238,,
1751082990.2608123,mmwave1_1751082990256,mmwave1,mqtt_published,1751082990.2607617,4.437923431396484,
1751082990.2627885,mmwave1_1751082990256,mmwave1,automation_triggered,1751082990.2627494,1.9876956939697266,
1751082990.2645726,mmwave1_1751082990256,mmwave1,lamp_toggled,1751082990.2645369,8.213043212890625,1.787424087524414
1751082990.3648536,mmwave2_1751082990364,mmwave2,pointcloud_received,1751082990.3648021,,
1751082990.370892,mmwave2_1751082990364,mmwave2,mqtt_published,1751082990.3708556,6.053447723388672,
1751082990.3729105,mmwave2_1751082990364,mmwave2,automation_triggered,1751082990.3728743,2.0186901092529297,
1751082990.3749306,mmwave2_1751082990364,mmwave2,lamp_toggled,1751082990.3748982,10.096073150634766,2.023935317993164
1751082990.4752192,mmwave1_1751082990475,mmwave1,pointcloud_received,1751082990.4751406,,
1751082990.4802775,mmwave1_1751082990475,mmwave1,mqtt_published,1751082990.4802396,5.099058151245117,
1751082990.482434,mmwave1_1751082990475,mmwave1,automation_triggered,1751082990.4824014,2.161741256713867,
1751082990.483943,mmwave1_1751082990475,mmwave1,lamp_toggled,1751082990.48391,8.769512176513672,1.5087127685546875
1751082990.5841885,mmwave2_1751082990584,mmwave2,pointcloud_received,1751082990.5841348,,
1751082990.5921013,mmwave2_1751082990584,mmwave2,mqtt_published,1751082990.5920377,7.902860641479492,
1751082990.594912,mmwave2_1751082990584,mmwave2,automation_triggered,1751082990.5948706,2.8328895568847656,
1751082990.5966976,mmwave2_1751082990584,mmwave2,lamp_toggled,1751082990.5966687,12.533903121948242,1.7981529235839844
